 1973    3.6      1.2    1.4      0.5
 1974    2.4      2.1    1.2      0.6
 1975    3.8      1.0    1.3      0.6
 1976    3.5      1.3    1.2      0.5
 1977    1.8      1.3    1.0      0.6
 1978    1.8      1.1    1.0      0.4
 1979    4.2      1.2    0.9      0.4
 1980    2.0      1.3    1.0      0.4
 1981    1.8      1.0    0.8      0.6
 1982    2.7      1.7    0.7      0.5
 1983    3.1      0.8    0.8      0.4
 1984    2.9      1.1    1.0      0.4
 1985    1.8      1.1    0.8      0.5
 1986    2.5      1.6    0.7      0.4
 1987    2.3      1.4    0.8      0.4
 1988    1.9      1.8    0.6      0.4
 1989    2.8      1.6    0.8      0.4
 1990    3.0      2.5    0.7      0.3
