21 6  6 67 0 43 1 14  1  2 39 55 45
25 4 14 57 1 42 1 15  0  1 40 53 47
22 6  8 64 2 38 3 12  1  3 41 55 45
19 4  2 75 0 38 1  7  0  1 53 54 46
18 0 15 67 0 74 0 19  0  3  4 62 38
23 0 28 49 0 56 0 21 19  0  4 40 60
22 0  0 78 3 63 4 14  0 16  0 22 78
22 0 14 64 0 95 0 04  0  1  0 21 79
34 0  0 66 0 48 1 48  0  3  0 51 49
13 6  6 75 0 43 0 16  2  2 37 57 43
30 0  6 64 3 59 0 33  0  5  0 83 17
0  0  0 100 3 55 0  40  0  2  0 74 26
10 8 11 71 0  8 5  6  0 61 20 56 44
17 6 15 62 0 43 0 14  0  9 34 54 46
16 3 22 59 1 57 0 14  0  4 24 69 31
27 4  6 63 2 44 1 11  0  4 38 53 47
26 6  6 62 0 43 1 13  1  2 40 55 45
 2 0  1 97 0 68 0 30  0  2  0 79 21
21 5 20 54 0 46 1 14  0 24 15 52 48
21 0 18 61 0 71 0 20  0  2  7 58 42
28 0 18 54 0 63 0 32  0  0  5 56 44
 3 0  0 97 4 38 9 31  1 17  0 91  9
20 7  7 66 1 38 1 14  1  4 41 56 44
13 4 13 71 1 16 3 11  0 40 30 41 59
11 2  6 81 6 50 1 24  2  4 14 70 30
24 1 17 58 0 63 1 26  0  2  6 56 44 
