0   750   
1   300   
2  1150   
0   650   
1   100   
2   100   
0    50   
1  2150   
2  2000   
0   450   
1  1350   
2   350   
0   700   
1   800   
2   400   
0   850   
1  1250   
2  2700   
0    50   
1   450   
2  1200   
0   300   
1   400   
2  1800   
0   300 
1  1950   
2   250   
0  1000   
1  1050   
2   350   
0   950   
1   100   
2   100   
0   950   
1   600   
2   250   
0    50   
1   150   
2   550   
0   500   
1   600   
2   600   
0  1200   
1   850   
2  1400   
0   850   
1    50   
2  1450   
0  1400   
1   350   
2   350   
0   550   
1  2450   
2   600   
0   800
1   100   
2  1300   
0  1950   
1  1700   
2  2400   
0   400   
1   150   
2   100   
0  1150   
1  1200   
2  1000   
0   100   
1  2950   
2   350   
0  1000
1   400   
2  1000   
0   350   
1   300   
2   250   
0   400   
1   350   
2   350   
0   500   
1   500   
2   550   
0  1200   
1  1000   
2   150   
0   450   
1   900   
2   900   
0   850   
1   200   
2   300   
0   950   
1   800   
2  1100   
0   350   
1   350   
2   400   
0   800   
1   650   
2   350   
0   150 
1   850
2   450
0   900   
1  1150   
2   300   
0   800 
1  1250   
2   900   
0  1500   
1   250   
2   600  
0  1750   
1   350   
2  1800   
0   150   
1   350   
2  2700   
0   750   
1  1350   
2  1000   
0  1250   
1  1200   
2   500   
0   750   
1  1850   
2   850   
0   100   
1   600   
2   700   
0  1000   
1  2000   
2   300   
0   800   
1   550   
2   200   
0  1300   
1  1650   
2   750   
0   600   
1   350   
2   600   
0   450   
1   450   
2  1600   
0   600   
1   300   
2  1250   
0   350
1  1250   
2  2400   
0  1250   
1  1100   
2   300   
0   200   
1   650   
2   450   
0   550   
1   900   
2   450   
0  1650   
1  2150   
2  1850   
0   600   
1   400   
2   350   
0   450   
1   700   
2   400   
0  2550   
1  1550   
2   850   
0   350   
1    50   
2   250   
0   850   
1   800   
2   550   
0   550   
1    50 
2   700   
0   150   
1   450   
2  3250   
0    50   
1   650   
2   800   
0    50   
1   400   
2  1050 
0   200   
1  1700   
2  1750   
0   400   
1   400   
2   300   
0   950   
1   400   
2   200   
0   350   
1   200   
2   800   
0  1100   
1  1100   
2   550   
0   750   
1   650   
2   200   
0  2350   
1  1050   
2   500   
0  2950   
1  2650   
2  2300   
0   850   
1  1900   
2   750   
0   650   
1   500   
2   250   
0  1150   
1   150   
2  1050   
0   350   
1    50   
2  1250   
0   200   
1   650   
2   950   
0   300   
1   150   
2   450   
0    50   
1   950   
2   800   
0   350   
1   300   
2   450   
0   950   
1  1200   
2  1100   
0  3550   
1  3000   
2   750   
0   500   
1   650   
2   950   
0   400   
1   400   
2    50   
0   650   
1  1250   
2   600   
0   500   
1  1700   
2   200   
0   500   
1   500   
2   600   
0   400   
1   400   
2   300   
0   335   
1   250   
2  3200   
0   600   
1   150   
2   150   
0  1600
1  1100   
2  1100 
0   950   
1   850   
2  1050   
0   850   
1   850   
2   750   
0  1250   
1   750   
2  1000 
0  2200   
1  1700   
2   600   
0   500   
1   900   
2   550   
0  1100   
1   650   
2   600   
0   650   
1  1100   
2   750   
0  1600   
1  1800   
2   500   
0   450   
1   500   
2   700   
0   750   
1   450   
2  1850   
0   350   
1  3250   
2  1150   
0   650
1   650   
2   650   
0   600   
1   750   
2   700   
0   500   
1   500   
2   750   
0   100   
1   350   
2   300   
0   100   
1   500   
2    50   
0   700   
1   700   
2  1300   
0   300   
1    50   
2   950   
0   100   
1   200   
2   150   
0   550   
1   100   
2   150   
0   750   
1   750   
2  1200   
0  1100   
1  1700   
2   500   
0  1150   
1   450   
2   750   
0   250   
1   250   
2   750   
0   600   
1   300   
2   600
0  1050   
1  1350   
2  1550   
0   350   
1   100   
2   850   
0   250   
1   350   
2   200   
